	AbdomenBack			AbdomenFront			AbdomenLeft			AbdomenRight			ActualAnkleLeftLegBack			ActualAnkleLeftLegFront			ActualAnkleLeftLegLeft			ActualAnkleLeftLegRight			ActualAnkleRightLegBack			ActualAnkleRightLegFront			ActualAnkleRightLegLeft			ActualAnkleRightLegRight			ActualKneeLeftLegBack			ActualKneeLeftLegFront			ActualKneeLeftLegLeft			ActualKneeLeftLegRight			ActualKneeRightLegBack			ActualKneeRightLegFront			ActualKneeRightLegLeft			ActualKneeRightLegRight			ActualMidLeftThighBack			ActualMidLeftThighFront			ActualMidLeftThighLeft			ActualMidLeftThighRight			ActualMidRightThighBack			ActualMidRightThighFront			ActualMidRightThighLeft			ActualMidRightThighRight			AnkleLeftLegBack			AnkleLeftLegFront			AnkleLeftLegLeft			AnkleLeftLegRight			AnkleRightLegBack			AnkleRightLegFront			AnkleRightLegLeft			AnkleRightLegRight			ApexBustLeft			ApexBustRight			ArmpitLeft			ArmpitRight			Bust With Drop Back			Bust With Drop Front			Bust With Drop Left			Bust With Drop Right			Bust120DegreesLeft			Bust120DegreesRight			Bust150DegreesLeft			Bust150DegreesRight			Bust210DegreesLeft			Bust210DegreesRight			Bust240DegreesLeft			Bust240DegreesRight			Bust300DegreesLeft			Bust300DegreesRight			Bust30DegreesLeft			Bust30DegreesRight			Bust330DegreesLeft			Bust330DegreesRight			Bust60DegreesLeft			Bust60DegreesRight			BustBack			BustFront			BustLeft			BustPointLeft			BustPointRight			BustRight			CalfLeftLegBack			CalfLeftLegFront			CalfLeftLegLeft			CalfLeftLegRight			CalfRightLegBack			CalfRightLegFront			CalfRightLegLeft			CalfRightLegRight			CenterBustLeft			CenterBustRight			Chin			CollarBack			CollarFront			CollarLeft			CollarRight			CrotchPoint			ElbowLeft			ElbowLeftArmBack			ElbowLeftArmForward			ElbowLeftArmLeft			ElbowLeftArmRight			ElbowRight			ElbowRightArmBack			ElbowRightArmForward			ElbowRightArmLeft			ElbowRightArmRight			Head Circum Back			Head Circum Front			Head Circum Left			Head Circum Right			Hip Widest Back			Hip Widest Front			Hip Widest Left			Hip Widest Right			HipBack			HipFront			HipLeft			HipRight			KneeLeftLegBack			KneeLeftLegFront			KneeLeftLegLeft			KneeLeftLegRight			KneeRightLegBack			KneeRightLegFront			KneeRightLegLeft			KneeRightLegRight			Left heel			Left toe			LowerBustLeft			LowerBustRight			Mid Neck Left			Mid Neck Right			Mid Shoulder Left			Mid Shoulder Right			MidLeftThighBack			MidLeftThighFront			MidLeftThighLeft			MidLeftThighRight			MidRightThighBack			MidRightThighFront			MidRightThighLeft			MidRightThighRight			NarrowWaistBack			NarrowWaistForward			NarrowWaistLeft			NarrowWaistRight			NeckBack			NeckFront			NeckLeft			NeckRight			OverArmBack			OverArmFront			OverArmLeft			OverArmRight			Right heel			Right toe			SeatBack			SeatFront			SeatLeft			SeatRight			ShoulderLeft			ShoulderRight			SideBustLeft			SideBustRight			Small of the Back			StomachFPBack			StomachFPFront			StomachFPLeft			StomachFPRight			StomachMaxBack			StomachMaxFront			StomachMaxLeft			StomachMaxRight			UnderBustBack			UnderBustFront			UnderBustLeft			UnderBustRight			UnderKneeLeftLegBack			UnderKneeLeftLegFront			UnderKneeLeftLegLeft			UnderKneeLeftLegRight			UnderKneeRightLegBack			UnderKneeRightLegFront			UnderKneeRightLegLeft			UnderKneeRightLegRight			UpperBustLeft			UpperBustRight			UpperLeftThighBack			UpperLeftThighFront			UpperLeftThighLeft			UpperLeftThighRight			UpperRightThighBack			UpperRightThighFront			UpperRightThighLeft			UpperRightThighRight			Waist at 50% Back			Waist at 50% Front			Waist at 50% Left			Waist at 50% Right			WaistBack			WaistFront			WaistLeft			WaistRight			WristLeft			WristLeftArmBack			WristLeftArmForward			WristLeftArmLeft			WristLeftArmRight			WristRight			WristRightArmBack			WristRightArmForward			WristRightArmLeft			WristRightArmRight			
A289FR23 September 23 2015 03_52-X-CBCFNk-CFCBW-LRSnp.obj	-22.58	949.15	-37.45	-22.58	949.15	211.03	153.68	949.15	75.25	-197.99	949.15	66.16	84.04	93.97	-26.05	84.04	93.97	73.61	124.50	93.97	17.33	43.58	93.97	33.69	-93.09	75.12	-33.85	-93.09	75.12	75.20	-53.25	75.12	29.18	-132.94	75.12	20.38	82.49	467.91	-13.70	82.49	467.91	117.78	148.59	467.91	40.73	16.38	467.91	41.15	-106.61	478.40	-9.29	-106.61	478.40	120.34	-41.36	478.40	44.30	-171.86	478.40	53.52	75.21	585.38	-14.21	75.21	585.38	143.99	152.79	585.38	62.72	-2.36	585.38	55.70	-109.53	590.62	-11.37	-109.53	590.62	143.01	-28.48	590.62	69.09	-190.59	590.62	56.27	84.04	93.97	-26.05	84.04	93.97	73.61	124.50	93.97	17.33	43.58	93.97	33.69	-93.64	93.97	-33.40	-93.64	93.97	64.56	-54.52	93.97	20.67	-132.75	93.97	20.67	65.00	1237.00	208.33	-114.00	1224.00	199.88	132.76	1272.51	59.74	-185.75	1260.65	51.06	-25.88	1164.45	-22.18	-25.88	1207.12	177.35	126.45	1184.59	72.01	-177.63	1182.05	60.10	86.50	1160.25	157.79	-135.85	1151.10	148.18	111.33	1179.13	139.39	-160.74	1174.46	129.83	130.69	1266.24	113.51	-185.85	1265.86	118.42	126.59	1322.69	120.43	-171.02	1317.82	118.05	-15.27	1338.62	152.87	-37.81	1338.06	151.91	1.75	1189.96	193.84	-43.93	1184.78	190.00	-29.13	1271.48	170.89	-17.41	1273.03	173.53	23.81	1169.95	181.20	-67.49	1160.49	173.47	-24.96	1214.71	-23.92	-24.96	1214.71	178.13	125.32	1214.71	67.81	43.94	1214.71	213.30	-100.65	1214.71	203.32	-174.38	1214.71	56.34	98.13	344.51	-47.24	98.13	344.51	85.68	160.87	344.51	14.57	35.39	344.51	22.52	-116.10	326.61	-46.71	-116.10	326.61	86.72	-55.10	326.61	20.17	-177.11	326.61	12.94	-12.91	1214.71	180.85	-31.34	1214.71	179.67	-28.53	1467.79	180.46	-34.52	1481.50	43.19	-34.52	1428.08	125.61	21.54	1458.30	83.92	-90.58	1455.19	78.70	-13.07	753.64	53.92	222.48	1094.93	57.41	222.48	1094.93	19.92	222.48	1097.75	93.08	268.43	1112.57	69.11	176.52	1077.30	46.64	-269.49	1073.79	38.50	-269.49	1073.08	2.05	-269.49	1077.16	75.40	-227.93	1059.49	41.05	-311.04	1088.09	50.46	-35.13	1620.75	-32.35	-35.13	1620.75	208.69	36.93	1620.75	127.76	-115.32	1620.75	123.34	-18.79	777.52	-64.85	-18.79	777.52	169.38	180.67	777.52	53.16	-218.33	777.52	53.89	-19.04	796.41	-73.29	-19.04	796.41	168.09	179.68	796.41	53.92	-217.76	796.41	53.92	86.65	442.94	-18.48	86.65	442.94	108.22	150.36	442.94	24.66	22.94	442.94	31.57	-110.65	442.94	-11.22	-110.65	442.94	104.93	-49.09	442.94	36.93	-172.21	442.94	34.27	85.44	-0.26	-40.38	46.23	-0.26	193.45	51.35	1156.34	170.87	-98.87	1145.67	163.22	29.16	1449.45	66.85	-100.48	1439.74	61.61	95.20	1418.34	66.19	-155.97	1406.82	60.72	75.49	572.89	-13.00	75.49	572.89	140.37	150.80	572.89	64.10	0.17	572.89	46.77	-109.15	572.89	-10.39	-109.15	572.89	137.74	-30.37	572.89	66.72	-187.92	572.89	54.04	-19.96	1077.17	-4.35	-19.96	1077.17	206.90	119.23	1077.17	98.98	-159.15	1077.17	86.15	-27.22	1452.21	31.73	-28.53	1394.08	119.76	29.16	1449.45	66.85	-100.48	1439.74	61.61	-22.68	1274.50	-20.45	-22.68	1274.50	171.97	213.07	1274.50	54.71	-258.43	1274.50	32.65	-85.00	-0.26	-52.14	-95.04	-0.26	184.81	-20.24	844.31	-79.07	-20.24	844.31	176.07	171.48	844.31	60.61	-211.33	844.31	57.76	161.24	1401.04	65.53	-211.46	1387.90	59.83	124.08	1214.71	117.79	-172.09	1214.71	115.09	-13.07	1045.27	-6.30	-23.39	965.40	-30.22	-23.39	965.40	212.88	149.31	965.40	77.52	-195.82	965.40	67.46	-23.06	989.96	-19.00	-23.06	989.96	209.79	143.05	989.96	80.95	-187.66	989.96	69.43	-23.43	1158.91	-18.85	-23.43	1158.91	182.15	123.78	1158.91	75.60	-170.57	1158.91	62.75	92.62	410.80	-30.17	92.62	410.80	91.56	155.53	410.80	28.25	29.72	410.80	30.89	-115.43	414.45	-22.27	-115.43	414.45	96.92	-55.16	414.45	32.72	-175.71	414.45	30.10	65.00	1357.88	124.78	-114.00	1357.88	122.33	81.92	702.84	-21.95	81.92	702.84	166.27	170.22	702.84	53.92	-6.38	702.84	116.35	-116.01	702.84	-20.68	-116.01	702.84	164.26	-19.70	702.84	42.15	-212.32	702.84	66.48	-20.36	1029.51	-9.44	-20.36	1029.51	209.18	131.03	1029.51	86.47	-170.25	1029.51	72.60	-15.74	1055.22	-5.20	-26.27	1054.58	208.40	122.39	1055.27	90.07	-160.62	1055.27	74.66	340.69	900.84	73.31	340.69	899.59	48.29	340.69	902.38	99.77	363.28	913.70	65.09	318.10	887.98	81.21	-377.49	878.63	55.22	-377.49	877.78	28.73	-377.49	879.97	82.45	-353.41	866.31	62.50	-401.57	890.72	41.27	
A290FA26 October 6 2015 01_17-CBNk-CFW-LRSnp.obj	-22.07	921.15	-16.50	-22.07	921.15	228.11	152.35	921.15	98.87	-195.05	921.15	89.11	113.50	90.33	15.58	113.50	90.33	96.08	144.03	90.33	56.17	82.97	90.33	57.77	-151.25	90.33	0.04	-151.25	90.33	86.62	-118.47	90.33	46.59	-184.03	90.33	47.68	82.87	472.01	12.11	82.87	472.01	133.82	143.51	472.01	71.60	22.24	472.01	58.58	-118.49	451.63	7.21	-118.49	451.63	121.87	-59.38	451.63	56.71	-177.60	451.63	58.17	76.36	582.65	7.67	76.36	582.65	165.02	151.83	582.65	73.67	0.89	582.65	65.10	-114.15	572.46	7.93	-114.15	572.46	155.62	-37.21	572.46	90.59	-191.09	572.46	80.69	113.19	90.33	12.74	113.19	90.33	97.41	143.77	90.33	53.93	82.62	90.33	53.93	-151.25	90.33	0.04	-151.25	90.33	86.62	-118.47	90.33	46.59	-184.03	90.33	47.68	72.00	1171.00	266.94	-158.00	1153.00	247.22	127.97	1213.78	83.49	-186.06	1218.03	63.13	-38.93	1103.65	11.99	-38.93	1144.94	244.66	119.64	1117.99	92.77	-174.61	1114.76	74.61	75.38	1111.59	207.10	-152.12	1097.13	180.77	98.88	1120.63	183.30	-171.70	1113.38	159.09	124.11	1202.38	142.27	-182.42	1189.58	130.75	92.66	1252.04	137.80	-190.27	1240.13	128.15	-13.37	1281.72	176.60	-67.02	1288.47	163.89	-16.91	1120.94	242.74	-64.30	1117.45	236.19	-44.41	1214.68	213.88	-38.26	1216.00	211.97	15.88	1103.64	240.73	-94.41	1095.14	228.65	-39.14	1150.13	-9.00	-39.14	1150.13	236.52	118.18	1150.13	89.66	41.79	1150.13	274.39	-120.09	1150.13	259.53	-183.59	1150.13	70.68	105.15	345.59	-8.55	105.15	345.59	101.28	161.50	345.59	41.01	48.79	345.59	47.17	-135.43	352.68	-14.38	-135.43	352.68	92.25	-79.07	352.68	39.84	-191.78	352.68	35.82	-37.16	1150.13	239.52	-50.54	1150.13	238.49	-28.50	1399.33	217.63	-28.34	1407.63	65.86	-28.34	1367.84	151.63	25.43	1397.13	106.77	-82.12	1385.43	96.34	-13.54	744.08	82.17	227.02	1045.56	59.79	227.02	1045.96	22.91	227.02	1048.84	97.34	264.64	1060.24	67.89	189.39	1030.88	58.17	-285.67	1031.66	37.62	-285.67	1031.67	2.67	-285.67	1033.26	71.96	-247.70	1019.82	29.37	-323.64	1043.51	43.60	-39.64	1552.07	-4.55	-37.72	1552.07	219.83	39.50	1552.07	176.00	-112.49	1552.07	111.32	-16.68	749.08	-25.16	-16.68	749.08	200.93	181.05	749.08	92.19	-214.35	749.08	91.31	-15.42	779.29	-39.41	-15.42	779.29	199.59	181.45	779.29	94.43	-212.30	779.29	94.67	89.46	436.00	9.55	89.46	436.00	120.42	147.08	436.00	61.93	31.84	436.00	54.23	-122.27	436.00	4.88	-122.27	436.00	116.76	-65.28	436.00	62.53	-179.26	436.00	57.29	106.73	-0.08	-9.33	93.47	-0.08	201.40	53.23	1109.32	225.59	-130.99	1089.37	202.92	30.43	1383.35	99.96	-84.41	1377.17	88.62	88.22	1355.47	99.07	-140.77	1354.90	76.78	76.75	564.64	9.79	76.75	564.64	158.60	149.76	564.64	86.67	3.75	564.64	60.62	-114.32	564.64	8.25	-114.32	564.64	153.17	-38.85	564.64	84.12	-189.79	564.64	74.81	-26.78	1055.72	26.38	-26.78	1055.72	244.73	116.90	1055.72	115.18	-170.46	1055.72	94.28	-25.45	1387.12	51.42	-28.50	1332.62	145.76	30.43	1383.35	99.96	-84.41	1377.17	88.62	-26.29	1210.96	-1.13	-26.29	1210.96	220.48	211.22	1210.96	68.63	-263.80	1210.96	50.32	-138.73	-0.08	-24.96	-151.28	-0.08	198.23	-18.17	837.10	-48.47	-18.17	837.10	201.64	169.00	837.10	96.24	-205.19	837.10	92.41	146.00	1345.53	98.18	-197.14	1341.99	64.93	115.35	1150.13	145.98	-174.06	1150.13	135.53	-13.54	1014.12	23.57	-25.95	1035.64	26.05	-25.95	1035.64	246.73	117.51	1035.64	100.74	-167.46	1035.64	83.41	-19.58	960.56	-0.05	-19.58	960.56	233.75	148.47	960.56	100.11	-185.06	960.56	87.57	-30.88	1111.20	12.52	-30.88	1111.20	239.85	118.76	1111.20	93.43	-174.52	1111.20	75.01	95.63	410.17	1.99	95.63	410.17	110.18	152.38	410.17	51.33	38.88	410.17	53.20	-128.91	407.09	-2.62	-128.91	407.09	104.75	-73.29	407.09	48.14	-184.53	407.09	46.34	72.00	1311.26	156.71	-158.00	1311.26	125.63	82.66	693.28	7.15	82.66	693.28	195.22	174.34	693.28	82.17	-9.01	693.28	47.81	-115.49	693.28	5.16	-115.49	693.28	184.34	-19.16	693.28	131.82	-211.82	693.28	82.17	-20.81	993.62	9.02	-20.81	993.62	237.91	137.10	993.62	101.14	-178.47	993.62	86.27	-22.10	1014.33	25.11	-26.63	1013.96	244.68	126.31	1022.26	102.04	-172.21	1018.73	85.29	327.60	853.23	86.44	327.60	849.35	61.42	327.60	856.73	111.64	348.48	863.18	80.41	306.73	843.46	97.97	-366.81	842.15	58.91	-366.81	839.93	34.81	-366.81	845.05	82.49	-344.05	832.69	62.79	-389.57	851.10	51.22	
A291FA22 October 6 2015 01_25-CBW-LRSnp.obj	-36.90	946.26	-96.61	-36.90	946.26	186.41	142.50	946.26	37.37	-217.40	946.26	22.59	116.75	93.17	-67.10	116.75	93.17	35.41	155.49	93.17	-18.45	78.01	93.17	-1.48	-152.47	93.17	-73.38	-152.47	93.17	31.40	-111.20	93.17	-9.59	-193.74	93.17	-23.78	88.99	460.82	-80.18	88.99	460.82	51.73	156.43	460.82	-24.87	21.54	460.82	-40.31	-126.25	455.72	-86.88	-126.25	455.72	54.01	-59.06	455.72	-24.58	-193.45	455.72	-25.05	76.84	580.26	-77.67	76.84	580.26	104.36	162.12	580.26	-11.02	-8.44	580.26	-11.09	-128.16	577.71	-81.86	-128.16	577.71	103.59	-41.01	577.71	12.65	-215.31	577.71	7.74	117.17	93.17	-67.48	117.17	93.17	35.87	156.29	93.17	-14.72	78.04	93.17	-2.15	-152.47	93.17	-73.38	-152.47	93.17	31.40	-111.20	93.17	-9.59	-193.74	93.17	-23.78	57.00	1217.00	194.65	-135.00	1220.00	197.81	119.70	1257.94	20.56	-205.46	1239.52	32.19	-38.86	1177.25	-52.36	-38.86	1212.11	173.05	109.10	1190.27	31.86	-188.04	1190.57	33.75	69.55	1151.20	132.90	-151.74	1144.77	129.35	95.28	1171.51	104.74	-176.98	1172.88	109.18	114.34	1261.49	90.86	-197.31	1261.90	105.04	100.14	1298.64	104.26	-180.75	1297.94	113.20	-1.98	1308.33	132.25	-76.85	1306.51	131.20	-21.33	1183.79	173.05	-56.36	1182.06	174.51	-30.63	1261.24	147.45	-47.78	1261.55	148.09	5.29	1159.46	166.01	-81.78	1152.88	166.32	-38.58	1216.44	-52.03	-38.58	1216.44	168.73	113.72	1216.44	27.49	33.72	1216.44	199.11	-133.57	1216.44	198.49	-194.00	1216.44	32.93	110.19	360.63	-105.64	110.19	360.63	24.28	174.29	360.63	-44.30	46.09	360.63	-37.58	-138.78	339.23	-114.96	-138.78	339.23	17.78	-74.98	339.23	-43.11	-202.58	339.23	-45.26	-34.63	1216.44	169.46	-43.56	1216.44	169.63	-45.39	1468.63	152.22	-41.06	1467.13	-0.87	-41.06	1421.19	95.69	14.81	1440.94	49.42	-96.93	1449.31	41.74	-25.93	750.49	15.89	215.62	1081.73	0.95	215.62	1081.25	-33.58	215.62	1079.43	35.48	255.53	1098.00	3.59	175.71	1065.46	4.98	-275.39	1063.66	-2.49	-275.39	1064.18	-37.91	-275.39	1066.85	33.94	-236.71	1051.16	-9.51	-314.08	1076.16	1.83	-52.32	1610.95	-78.60	-20.39	1610.95	172.08	43.29	1610.95	89.84	-105.98	1610.95	77.05	-31.02	755.49	-107.30	-31.02	755.49	142.26	180.67	755.49	11.20	-242.24	755.49	-0.85	-31.87	793.77	-125.46	-31.87	793.77	139.73	179.08	793.77	15.89	-242.81	793.77	2.24	94.66	440.87	-84.78	94.66	440.87	41.88	160.20	440.87	-25.07	29.11	440.87	-32.96	-128.44	440.87	-92.37	-128.44	440.87	43.36	-64.49	440.87	-31.50	-192.39	440.87	-19.56	120.80	-0.22	-72.89	81.62	-0.22	171.15	37.69	1148.23	155.14	-116.75	1133.64	151.49	21.16	1430.26	31.00	-109.05	1429.94	35.01	79.24	1398.58	34.95	-164.78	1398.43	39.85	76.86	570.28	-77.17	76.86	570.28	100.47	160.85	570.28	-13.66	-7.13	570.28	-13.73	-127.62	570.28	-81.11	-127.62	570.28	101.34	-41.71	570.28	14.86	-213.53	570.28	9.51	-35.50	1093.02	-36.17	-35.50	1093.02	180.50	106.62	1093.02	64.13	-177.63	1093.02	52.16	-45.39	1437.87	-10.49	-45.39	1386.89	88.29	21.16	1430.26	31.00	-109.05	1429.94	35.01	-42.13	1273.26	-48.54	-42.13	1273.26	143.37	191.03	1273.26	12.02	-275.29	1273.26	34.78	-149.94	-0.22	-83.22	-149.70	-0.22	171.73	-33.15	839.86	-135.60	-33.15	839.86	144.23	168.46	839.86	22.38	-233.18	839.86	8.39	137.32	1388.74	38.89	-220.51	1382.36	44.70	111.53	1216.44	82.84	-190.70	1216.44	97.14	-25.93	1047.77	-36.18	-35.33	973.83	-73.62	-35.33	973.83	192.68	139.05	973.83	41.25	-213.96	973.83	26.27	-36.23	989.91	-68.37	-36.23	989.91	189.79	134.98	989.91	43.52	-209.84	989.91	28.42	-36.06	1151.08	-43.79	-36.06	1151.08	168.94	109.20	1151.08	38.41	-181.87	1151.08	35.00	101.72	414.67	-94.98	101.72	414.67	26.46	166.39	414.67	-36.16	37.05	414.67	-33.87	-132.92	413.91	-100.95	-132.92	413.91	27.22	-69.63	413.91	-36.98	-196.22	413.91	-24.08	57.00	1320.46	115.27	-135.00	1320.46	117.49	78.08	699.69	-66.68	78.08	699.69	137.44	177.35	699.69	2.49	-21.19	699.69	83.07	-131.98	699.69	-78.23	-131.98	699.69	135.95	-26.70	699.69	-10.72	-237.26	699.69	15.89	-35.21	1028.15	-50.01	-35.21	1028.15	189.60	126.45	1028.15	48.90	-196.58	1028.15	33.52	-32.38	1059.72	-33.60	-40.19	1060.77	186.77	113.26	1060.77	53.50	-182.68	1060.77	37.87	334.24	885.57	60.15	334.24	877.81	35.11	334.24	892.15	87.32	357.36	896.26	46.92	311.13	874.38	71.40	-368.27	853.31	57.45	-368.27	845.97	34.65	-368.27	860.49	80.49	-343.39	845.45	68.61	-393.16	861.98	47.83	
A293MR23 October 6 2015 01_34-WAll-CFCBNk-LRSnp.obj	-33.43	916.77	-70.31	-33.43	916.77	199.57	143.70	916.77	74.57	-209.15	916.77	78.75	95.46	75.06	-32.83	95.46	75.06	74.74	133.15	75.06	21.15	57.78	75.06	26.49	-138.98	75.06	-47.78	-138.98	75.06	67.54	-99.73	75.06	25.74	-178.23	75.06	10.35	82.73	468.46	-42.00	82.73	468.46	98.87	151.58	468.46	8.88	13.87	468.46	18.02	-129.08	463.31	-52.31	-129.08	463.31	86.40	-61.03	463.31	2.38	-197.12	463.31	9.49	69.27	580.74	-42.49	69.27	580.74	144.31	152.56	580.74	60.67	-14.03	580.74	26.67	-124.20	578.17	-45.52	-124.20	578.17	141.08	-37.78	578.17	39.28	-210.61	578.17	62.99	95.35	75.06	-33.12	95.35	75.06	81.01	133.58	75.06	23.40	57.12	75.06	35.85	-138.98	75.06	-47.78	-138.98	75.06	67.54	-99.73	75.06	25.74	-178.23	75.06	10.35	72.00	1217.00	222.45	-147.00	1206.00	220.58	145.55	1261.85	64.67	-216.02	1240.36	59.39	-33.70	1170.53	-25.63	-33.70	1206.10	205.61	141.46	1184.88	67.63	-204.14	1183.91	61.37	91.57	1152.71	181.42	-166.07	1144.57	174.64	120.16	1167.09	151.30	-195.09	1162.70	144.99	140.19	1261.36	127.66	-218.72	1259.92	132.55	135.15	1320.31	139.04	-208.51	1314.85	137.43	-5.86	1336.46	172.93	-68.51	1338.21	165.15	-2.74	1173.61	213.33	-65.91	1169.30	212.13	-29.41	1268.65	197.54	-39.75	1272.10	195.47	30.35	1154.41	214.05	-101.45	1147.33	209.79	-32.84	1209.18	-25.85	-32.84	1209.18	205.16	143.30	1209.18	66.70	35.81	1209.18	225.78	-111.75	1209.18	223.07	-206.77	1209.18	60.48	104.33	322.72	-66.98	104.33	322.72	77.90	169.11	322.72	-0.72	39.55	322.72	-9.41	-143.54	326.71	-81.37	-143.54	326.71	65.07	-75.59	326.71	-27.10	-211.49	326.71	-11.47	-20.03	1209.18	208.42	-50.10	1209.18	207.92	-34.62	1458.52	222.23	-37.42	1484.41	40.49	-37.42	1413.08	146.39	27.37	1450.32	97.25	-102.22	1448.08	87.92	-26.13	743.83	75.95	255.15	1094.92	73.02	255.15	1097.29	32.46	255.15	1094.90	111.79	297.09	1109.66	84.98	213.20	1080.18	54.19	-298.10	1066.87	57.85	-298.10	1068.45	16.05	-298.10	1066.71	97.44	-254.87	1055.13	39.91	-341.33	1078.62	78.02	-37.83	1615.91	16.36	-37.83	1615.91	220.65	53.58	1615.91	114.26	-146.10	1615.91	115.74	-31.93	748.83	-42.94	-31.93	748.83	184.71	164.17	748.83	63.35	-228.32	748.83	73.91	-33.37	813.66	-73.21	-33.37	813.66	203.64	159.53	813.66	75.95	-226.26	813.66	88.54	83.56	464.52	-44.23	83.56	464.52	96.64	152.31	464.52	9.39	14.81	464.52	16.32	-128.88	464.52	-52.17	-128.88	464.52	86.89	-60.85	464.52	7.58	-196.90	464.52	8.73	105.99	-0.20	-44.35	84.56	-0.20	186.01	64.06	1153.22	203.26	-137.04	1144.03	197.24	32.40	1449.96	76.71	-107.77	1442.96	74.77	97.25	1419.28	75.88	-165.91	1408.72	70.18	69.42	578.78	-42.46	69.42	578.78	143.47	152.24	578.78	63.60	-13.39	578.78	26.70	-124.24	578.78	-45.45	-124.24	578.78	141.41	-37.68	578.78	49.40	-210.80	578.78	60.17	-32.49	1091.06	-19.84	-32.49	1091.06	232.29	130.04	1091.06	76.02	-195.03	1091.06	70.85	-36.88	1463.01	30.16	-34.62	1378.21	141.63	32.40	1449.96	76.71	-107.77	1442.96	74.77	-31.83	1265.52	-26.28	-31.83	1265.52	196.77	228.92	1265.52	58.78	-292.58	1265.52	36.96	-142.52	-0.20	-61.77	-149.26	-0.20	175.69	-33.96	872.82	-81.16	-33.96	872.82	197.97	148.68	872.82	75.16	-218.23	872.82	82.93	162.11	1395.92	75.04	-224.04	1388.97	65.58	136.98	1209.18	128.09	-210.00	1209.18	127.15	-26.13	1035.60	-21.84	-32.60	1062.98	-21.79	-32.60	1062.98	235.27	132.05	1062.98	72.33	-196.59	1062.98	65.59	-34.73	991.94	-40.46	-34.73	991.94	227.72	137.70	991.94	73.57	-208.35	991.94	71.62	-35.75	1168.66	-24.44	-35.75	1168.66	208.61	136.39	1168.66	68.26	-204.41	1168.66	61.90	94.86	421.11	-54.81	94.86	421.11	77.61	159.95	421.11	10.41	29.77	421.11	14.66	-138.77	422.34	-66.84	-138.77	422.34	66.86	-75.06	422.34	4.18	-202.47	422.34	0.44	72.00	1359.80	144.29	-147.00	1359.80	135.10	71.36	693.03	-28.26	71.36	693.03	180.26	162.80	693.03	63.26	-20.07	693.03	16.08	-130.73	693.03	-35.86	-130.73	693.03	178.39	-34.60	693.03	124.23	-226.85	693.03	75.95	-33.00	1041.00	-31.33	-33.00	1041.00	234.19	138.21	1041.00	72.92	-204.36	1041.00	66.96	-26.72	1050.67	-20.03	-33.20	1050.87	235.13	136.48	1051.22	72.78	-202.68	1051.05	66.01	350.95	896.46	81.80	350.95	895.14	55.99	350.95	898.16	108.31	378.26	908.90	71.84	323.63	883.88	88.10	-380.60	844.42	68.57	-380.60	842.52	41.44	-380.60	846.55	96.61	-353.29	834.41	72.95	-407.91	854.44	66.39	
